,first 25 eigenvals
0,(67582.38372491449+0j)
1,(23663.602717568236+0j)
2,(9424.002184856347+0j)
3,(6353.204386448051+0j)
4,(6268.762936567996+0j)
5,(5622.345409952993+0j)
6,(5197.094145333984+0j)
7,(5037.763705557942+0j)
8,(4603.358519458195+0j)
9,(4454.597169787712+0j)
10,(4123.998878056055+0j)
11,(4039.9457086542516+0j)
12,(4030.5499169385703+0j)
13,(3721.3094298446863+0j)
14,(3529.2536855981202+0j)
15,(3461.673305797988+0j)
16,(3352.2252204306633+0j)
17,(3268.1564408497957+0j)
18,(3215.227999061338+0j)
19,(3094.7519746185053+0j)
20,(3072.677843354493+0j)
21,(2985.2229207191044+0j)
22,(2911.332531529541+0j)
23,(2868.05116948308+0j)
24,(2849.819772718435+0j)
